country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","26-02-2026 19:00:00",21.258815,81.578979,SO2,3,10,6
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","26-02-2026 19:00:00",21.237755,81.705301,CO,14,46,21
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","26-02-2026 19:00:00",21.237755,81.705301,OZONE,6,58,27
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","26-02-2026 19:00:00",21.371751,81.664929,PM10,49,138,95
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","26-02-2026 19:00:00",21.371751,81.664929,NO2,7,27,14
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","26-02-2026 19:00:00",21.371751,81.664929,CO,10,11,10
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","26-02-2026 19:00:00",21.371751,81.664929,OZONE,1,5,3
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","26-02-2026 19:00:00",22.06631475,83.33820077,PM2.5,52,118,73
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","26-02-2026 19:00:00",22.06631475,83.33820077,PM10,54,169,94
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","26-02-2026 19:00:00",25.859655,85.77944,NO2,8,9,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","26-02-2026 19:00:00",24.952822,84.002396,PM2.5,17,65,32
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","26-02-2026 19:00:00",24.952822,84.002396,NH3,3,6,3
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","26-02-2026 19:00:00",24.952822,84.002396,SO2,3,6,5
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","26-02-2026 19:00:00",26.2271665,84.3570427,NH3,1,1,1
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","26-02-2026 19:00:00",30.735567,76.775714,PM2.5,57,280,93
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","26-02-2026 19:00:00",30.735567,76.775714,PM10,57,98,75
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","26-02-2026 19:00:00",30.735567,76.775714,NH3,13,22,18
India,Bihar,Munger,"Town Hall, Munger - BSPCB","26-02-2026 19:00:00",25.376776,86.471523,NH3,2,3,3
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","26-02-2026 19:00:00",26.11442,85.39813,NO2,NA,NA,NA
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","26-02-2026 19:00:00",26.11442,85.39813,NH3,NA,NA,NA
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","26-02-2026 19:00:00",26.1403345,85.3650192,NO2,2,5,4
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","26-02-2026 19:00:00",26.1403345,85.3650192,CO,46,63,56
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","26-02-2026 19:00:00",26.1403345,85.3650192,OZONE,36,66,55
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","26-02-2026 19:00:00",26.1209,85.3647,OZONE,10,21,18
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","26-02-2026 19:00:00",25.592539,85.227158,NH3,4,5,5
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","26-02-2026 19:00:00",25.592539,85.227158,CO,38,98,48
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","26-02-2026 19:00:00",25.610369,85.132568,PM2.5,33,103,68
India,Bihar,Patna,"Muradpur, Patna - BSPCB","26-02-2026 19:00:00",25.619651,85.147382,OZONE,15,97,81
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","26-02-2026 19:00:00",25.599486,85.113666,NO2,40,76,52
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","26-02-2026 19:00:00",25.599486,85.113666,NH3,3,5,4
